time,roll,pitch,altitude,vibration_z,label
0.008,-9.2313599821683e-20,-1.1119407297942192e-18,0.09937216,2.8431681580374084e-17,SAFE
0.016,9.362230209239083e-10,6.246723786318726e-10,0.098119959375273,9.530600827892538e-09,SAFE
0.024,5.6120198756178446e-09,3.750341767662866e-09,0.0962468733119871,4.759809271857604e-08,SAFE
0.032,1.868740775360218e-08,1.2503638570430829e-08,0.0937563728297,1.3310152731598678e-07,SAFE
0.04,4.666881140663326e-08,3.1254247846648585e-08,0.0906519248044407,2.848355689771959e-07,SAFE
0.048,9.789885961787853e-08,6.560776515352281e-08,0.0869369919916546,5.214910462402863e-07,SAFE
0.056,2.153614321843894e-06,-0.034443746364067,0.0867982323924831,1.093747277393474e-06,SAFE
0.064,-4.572239121098492e-07,-0.0686831590689536,0.085986321077758,0.0005389673727702,SAFE
0.072,-7.635774995518176e-06,-0.1027245461877153,0.0845039029013295,0.001052046199698,SAFE
0.08,-6.804114560421872e-06,-0.0813841861339725,0.0845099281913994,-5.39322509909976e-05,SAFE
0.088,-6.370136632606472e-06,-0.0746467032935099,0.0855345931813508,-3.821437865877296e-06,SAFE
0.096,-5.860521091292744e-06,-0.0679449902099228,0.0859244242822092,-5.370621457540923e-06,SAFE
0.104,-5.240547104289986e-06,-0.0612805190909942,0.0856833884266413,-1.956979969422793e-06,SAFE
0.112,-5.026733643847411e-06,-0.0636202948704261,0.0858452099611392,-1.3562908995442635e-06,SAFE
0.12,-3.899858223942149e-06,-0.0681112759044165,0.085627634232182,-8.834169659980333e-06,SAFE
0.128,-2.916248773565916e-06,-0.0761052647335085,0.0851865682661821,-8.206514631828596e-06,SAFE
0.136,-2.0830472073448894e-06,-0.0726290990602673,0.0854201863900602,-6.783336769374303e-06,SAFE
0.144,-1.4606986177823542e-06,-0.0720057423240538,0.0854816516678075,-5.366728270143344e-06,SAFE
0.152,-9.473985387973e-07,-0.0715502889620152,0.0855274318121821,-4.667193846772552e-06,SAFE
0.16,-5.352994770612438e-07,-0.0711871263812372,0.0855639240762976,-3.5891768477125e-06,SAFE
0.168,-2.05289878578792e-07,-0.0708968465558436,0.0855930774977526,-2.8726820384574303e-06,SAFE
0.176,5.895082467353072e-08,-0.0706648213457566,0.0856163721813138,-2.299176870244317e-06,SAFE
0.184,2.705220656161097e-07,-0.0704793659942177,0.0856349876875797,-1.84025375054699e-06,SAFE
