time,roll,pitch,altitude,vibration_z,label
0.008,-9.231359982168301e-20,-1.1119407297942192e-18,0.09937216000000001,2.8431681580374084e-17,SAFE
0.016,9.362230209239085e-10,6.246723786318726e-10,0.09811995937527307,9.530600827892538e-09,SAFE
0.024,5.6120198756178446e-09,3.7503417676628664e-09,0.09624687331198716,4.759809271857604e-08,SAFE
0.032,1.868740775360218e-08,1.2503638570430829e-08,0.09375637282970008,1.3310152731598678e-07,SAFE
0.04,4.666881140663326e-08,3.1254247846648585e-08,0.09065192480444076,2.848355689771959e-07,SAFE
0.048,9.789885961787852e-08,6.560776515352281e-08,0.0869369919916546,5.214910462402863e-07,SAFE
0.056,2.153614321843894e-06,-0.03444374636406708,0.08679823239248316,1.093747277393474e-06,SAFE
0.064,-4.572239121098492e-07,-0.06868315906895367,0.08598632107775805,0.0005389673727702598,SAFE
0.07200000000000001,-7.635774995518176e-06,-0.10272454618771534,0.08450390290132956,0.0010520461996980728,SAFE
0.08,-6.804114560421872e-06,-0.08138418613397252,0.08450992819139942,-5.3932250990997596e-05,SAFE
0.088,-6.370136632606472e-06,-0.07464670329350998,0.08553459318135087,-3.821437865877296e-06,SAFE
0.096,-5.8605210912927435e-06,-0.06794499020992284,0.08592442428220923,-5.370621457540923e-06,SAFE
0.10400000000000001,-5.240547104289986e-06,-0.06128051909099421,0.0856833884266413,-1.956979969422793e-06,SAFE
0.112,-5.026733643847411e-06,-0.06362029487042616,0.08584520996113923,-1.3562908995442635e-06,SAFE
0.12,-3.899858223942149e-06,-0.06811127590441653,0.08562763423218206,-8.834169659980333e-06,SAFE
0.128,-2.9162487735659158e-06,-0.07610526473350855,0.08518656826618215,-8.206514631828596e-06,SAFE
0.136,-2.0830472073448894e-06,-0.07262909906026731,0.08542018639006027,-6.783336769374303e-06,SAFE
0.14400000000000002,-1.4606986177823542e-06,-0.07200574232405382,0.08548165166780758,-5.3667282701433435e-06,SAFE
0.152,-9.473985387973001e-07,-0.07155028896201529,0.08552743181218217,-4.6671938467725515e-06,SAFE
0.16,-5.352994770612438e-07,-0.07118712638123727,0.08556392407629769,-3.5891768477125002e-06,SAFE
0.168,-2.05289878578792e-07,-0.07089684655584366,0.08559307749775262,-2.8726820384574303e-06,SAFE
0.176,5.895082467353072e-08,-0.07066482134575665,0.08561637218131385,-2.299176870244317e-06,SAFE
0.184,2.7052206561610963e-07,-0.0704793659942177,0.08563498768757971,-1.84025375054699e-06,SAFE
0.192,4.3991840439626294e-07,-0.07033113525351144,0.0856498656988958,-1.4730007910860644e-06,SAFE
0.2,5.755451916751423e-07,-0.07021265679454625,0.08566175818828389,-1.1790872057023137e-06,SAFE
0.20800000000000002,6.841335511373175e-07,-0.07011795695140699,0.0856712657347152,-9.43852493480129e-07,SAFE
0.216,7.710733572089836e-07,-0.07004226071975043,0.08567886805990291,-7.55570694791845e-07,SAFE
0.224,8.406802891428568e-07,-0.06998175153278809,0.08568494838284971,-6.048625512703167e-07,SAFE
0.232,8.96409795766506e-07,-0.06993337903757973,0.08568981285310377,-4.842247510850929e-07,SAFE
0.24,9.410285015621029e-07,-0.06989470534989269,0.08569370606265962,-3.876540170526239e-07,SAFE
0.248,9.767515091528783e-07,-0.06986378212098833,0.08569682343097482,-3.103468381255171e-07,SAFE
0.256,1.0053523157046474e-06,-0.06983905225897707,0.0856993210952419,-2.484591016664936e-07,SAFE
